filing_date,quarter,symbol,percentage,value,price_before,price_after,price_change_pct,hld_pct_change
2020-05-15,Q1 2020,APO,6.8,1136102,36.40425109863281,38.3058967590332,5.223691198173854,-36.77524839642812
2020-08-14,Q2 2020,APO,6.6,1692962,42.69024658203125,43.17622375488281,1.138379868379854,49.01496520558894
2020-11-16,Q3 2020,APO,4.3,1517629,39.35138702392578,40.71231842041016,3.4584076938810924,-10.356582132380998
2021-02-16,Q4 2020,APO,4.3,1661083,46.29395294189453,46.73475646972656,0.9521838162865508,9.452507826352807
2021-05-17,Q1 2021,APO,3.8,1641284,52.25919342041016,51.86784362792969,-0.7488630552181937,-1.1919332146557382
2021-08-16,Q2 2021,APO,3.6,1931464,54.51219177246094,53.54810333251953,-1.7685739805979606,17.680060245515094
2021-11-15,Q3 2021,APO,2.6,1377329,69.44954681396484,70.1904296875,1.066792956215778,-28.68989533328087
2022-02-14,Q4 2021,APO,1.0,461349,61.22358322143555,63.00426864624024,2.908495927728117,-66.50408145040146
2022-05-16,Q1 2022,APO,0.2,46143,50.82938003540039,51.77912521362305,1.86849648286326,-89.99824427927663
2022-08-15,Q2 2022,APO,0.2,21955,57.637351989746094,57.38222885131836,-0.4426350788515089,-52.419651951541944
2022-11-14,Q3 2022,APO,0.2,21058,62.03329849243164,61.38652420043945,-1.0426243770853116,-4.085629697107718
2023-02-14,Q4 2022,APO,0.5,40058,68.01903533935547,69.32064819335938,1.913600872917408,90.22699211701016
2023-05-15,Q1 2023,APO,1.5,165160,60.16030502319336,59.70797348022461,-0.7518770770765947,312.3021618652953
2023-08-14,Q2 2023,APO,7.9,947913,78.88202667236328,78.0196533203125,-1.093244416288455,473.9361830951804
2023-11-14,Q3 2023,APO,8.1,1102718,83.50556945800781,84.7232894897461,1.458250077979089,16.331140094080364
2024-02-14,Q4 2023,APO,8.1,1144857,107.5635223388672,111.65576934814452,3.8044933080428174,3.8213759093439936
2024-05-15,Q1 2024,APO,7.6,1381469,108.95331573486328,111.22772216796876,2.087505476786234,20.667384660267608
2024-08-14,Q2 2024,APO,6.7,1450512,103.21593475341795,109.3530502319336,5.945899238501442,4.997795824589613
2024-11-14,Q3 2024,APO,6.5,1534543,162.83018493652344,162.126708984375,-0.432030432454938,5.7931957819032265
2025-02-14,Q4 2024,APO,7.7,2026897,156.9131622314453,161.48599243164062,2.9142425881714336,32.084731415150955
2025-05-15,Q1 2025,APO,3.2,850328,143.7291259765625,143.83999633789062,0.0771384091949493,-58.04779423917446
2021-08-16,Q2 2021,APP,0.1,69758,56.459999084472656,62.56999969482422,10.821822014573684,
2021-11-15,Q3 2021,APP,0.1,43422,112.36000061035156,109.02999877929688,-2.963689758780492,-37.753375956879495
2022-02-14,Q4 2021,APP,0.1,56556,70.30999755859375,75.51000213623047,7.395825285448527,30.24734005803509
2022-11-14,Q3 2022,APP,0.9,96920,16.940000534057617,15.520000457763672,-8.382526750451138,71.36996958766532
